NO,M-N0,M-NAME,P-NO,P-NAME,SIZE,PRICE,YEAR,ETC,CHECK-DATE,MTYPE-NO,MART-TYPE,A-CODE,A-NAME
1222813,60,이마트 청계점,305,"사과(부사, 300g)",1개,1750,2018-04,,2018-04-19,002,대형마트,140000,중구
1222814,60,이마트 청계점,284,배(중품),1개,2200,2018-04,,2018-04-19,002,대형마트,140000,중구
1222815,60,이마트 청계점,271,배추(중간),1포기 2.5kg,3980,2018-04,,2018-04-19,002,대형마트,140000,중구
1222816,60,이마트 청계점,133,무(세척무),1개,2280,2018-04,,2018-04-19,002,대형마트,140000,중구
1222817,60,이마트 청계점,309,양파(1.5kg망),1망,2780,2018-04,,2018-04-19,002,대형마트,140000,중구
1222818,60,이마트 청계점,310,상추(100g),1봉지,1000,2018-04,,2018-04-19,002,대형마트,140000,중구
1222819,60,이마트 청계점,311,오이(다다기),1개,600,2018-04,,2018-04-19,002,대형마트,140000,중구
1222820,60,이마트 청계점,118,"호박(인큐베이터),중간",1개,1480,2018-04,,2018-04-19,002,대형마트,140000,중구
1222821,60,이마트 청계점,98,쇠고기(한우2등급),1근,32500,2018-04,,2018-04-19,002,대형마트,140000,중구
1222822,60,이마트 청계점,99,돼지고기(생삼겹살),1근,10600,2018-04,,2018-04-19,002,대형마트,140000,중구
1222823,60,이마트 청계점,18,닭고기,1마리,5500,2018-04,,2018-04-19,002,대형마트,140000,중구
1222824,60,이마트 청계점,171,달걀(10개),10개,2490,2018-04,,2018-04-19,002,대형마트,140000,중구
1222825,60,이마트 청계점,320,달걀(30개),30개,4390,2018-04,,2018-04-19,002,대형마트,140000,중구
1222826,60,이마트 청계점,152,"명태(러시아,냉동)",1마리,3500,2018-04,,2018-04-19,002,대형마트,140000,중구
1222827,60,이마트 청계점,260,"조기(냉동,수입산)",1마리,3500,2018-04,,2018-04-19,002,대형마트,140000,중구
1222828,60,이마트 청계점,253,오징어,1마리,3980,2018-04,,2018-04-19,002,대형마트,140000,중구
1222829,60,이마트 청계점,13,고등어,1마리,2200,2018-04,,2018-04-19,002,대형마트,140000,중구
1224445,215,청담삼익시장,50,사과(부사),1개,1596,2018-04,"국내산 5개 7,980원",2018-04-15,001,전통시장,680000,강남구
1224446,215,청담삼익시장,276,배(신고),1개,2500,2018-04,"국내산 3개 7,500원",2018-04-15,001,전통시장,680000,강남구
1224447,215,청담삼익시장,307,배추(2.5~3kg),1포기,5000,2018-04,국내산,2018-04-15,001,전통시장,680000,강남구
1224448,215,청담삼익시장,308,무(1kg),1개,2680,2018-04,국내산,2018-04-15,001,전통시장,680000,강남구
1224449,215,청담삼익시장,309,양파(1.5kg망),1.5kg,3980,2018-04,국내산,2018-04-15,001,전통시장,680000,강남구
1224450,215,청담삼익시장,310,상추(100g),100g,1080,2018-04,신선쌈,2018-04-15,001,전통시장,680000,강남구
1224451,215,청담삼익시장,311,오이(다다기),1개,660,2018-04,"국내산 3개 1,980원",2018-04-15,001,전통시장,680000,강남구
1224452,215,청담삼익시장,312,애호박,1개,1580,2018-04,논개,2018-04-15,001,전통시장,680000,강남구
1224453,215,청담삼익시장,58,"쇠고기(한우,불고기)",600g,35880,2018-04,국내산,2018-04-15,001,전통시장,680000,강남구
1224454,215,청담삼익시장,285,돼지고기,600g,21300,2018-04,국내산,2018-04-15,001,전통시장,680000,강남구
1224455,215,청담삼익시장,18,닭고기,1050g,7800,2018-04,하림,2018-04-15,001,전통시장,680000,강남구
1224456,215,청담삼익시장,171,달걀(10개),10개,4300,2018-04,으뜸,2018-04-15,001,전통시장,680000,강남구
1224457,215,청담삼익시장,320,달걀(30개),30개,5500,2018-04,신선,2018-04-15,001,전통시장,680000,강남구
1224458,215,청담삼익시장,260,"조기(냉동,수입산)",1마리,5000,2018-04,중국산 22cm,2018-04-15,001,전통시장,680000,강남구
1224459,215,청담삼익시장,288,동태,1마리,5500,2018-04,러시아산 40cm,2018-04-15,001,전통시장,680000,강남구
